키	한국어	태국어	번역(감수)
nav.shop	Shop	ร้านค้า	
nav.freeOffer	Free Offer	ข้อเสนอฟรี	
nav.howItWorks	How it Works	วิธีการทำงาน	
nav.myBooking	My Booking	การจองของฉัน	
home.hero.landingTitle	한국 성형수술 여행을 안전하게.	ปกป้องการเดินทางศัลยกรรมของคุณในเกาหลี	
home.hero.landingSubtitle	공항 픽업, 24/7 통역, 최대 $15,000 재수술 보장.	รับที่สนามบิน, แปลภาษา 24/7, และคุ้มครองการผ่าตัดซ้ำสูงสุด $15,000	
home.hero.badge1	KB 보험 파트너	พาร์ทเนอร์ KB Insurance	
home.hero.badge2	의료 위원회 인증	รับรองโดยคณะกรรมการแพทย์	
home.hero.airportService	공항 서비스	บริการสนามบิน	
home.hero.airportServiceDesc	공항에서 프라이빗 픽업	รับส่วนตัวจากสนามบิน	
home.hero.support247	24/7 서포트	สนับสนุน 24/7	
home.hero.support247Desc	24시간 지원 서비스	ความช่วยเหลือตลอด 24 ชั่วโมง	
home.hero.resurgery	재수술 보장	คุ้มครองการผ่าตัดซ้ำ	
home.hero.resurgeryDesc	안심을 위한 최대 $15,000 보장	ความคุ้มครองสูงสุด $15,000 เพื่อความอุ่นใจ	
home.hero.title	이미 병원을 예약하셨나요?	จองคลินิกเรียบร้อยแล้วหรือยัง?	
home.hero.subtitle	여정 선택	เลือกเส้นทางของคุณ	
home.hero.yesCard.title	네, 병원을 이미 예약했어요	ใช่ ฉันจองคลินิกแล้ว	
home.hero.yesCard.description	Essential, Safety 또는 VIP 패스를 구매하여 여행을 보호하세요	ซื้อ Essential, Safety หรือ VIP Pass เพื่อปกป้องการเดินทางของคุณ	
home.hero.yesCard.button	Pass 구매하기	ซื้อบัตร	
home.hero.yesCard.badge	유료 상품	สินค้าแบบชำระเงิน	
home.hero.noCard.title	아니요, BBG를 통해 예약하고 싶어요	ไม่ ฉันต้องการจองผ่าน BBG	
home.hero.noCard.description	BBG 파트너 병원 예약 시 무료 혜택을 받으세요	รับสิทธิพิเศษฟรีเมื่อจองคลินิกพาร์ทเนอร์ BBG	
home.hero.noCard.button	무료 혜택 받기	รับสิทธิพิเศษฟรี	
home.hero.noCard.badge	무료	ฟรี	
home.whyBBG.title	Seoul Beauty Pass를 선택해야 하는 이유	ทำไมต้องเลือก BBG Medical Pass	
home.whyBBG.subtitle	한국 성형수술 여행을 위한 신뢰할 수 있는 파트너	พาร์ทเนอร์ที่เชื่อถือได้สำหรับการท่องเที่ยวเพื่อศัลยกรรมในเกาหลี	
home.whyBBG.safety.title	검증된 안전	ความปลอดภัยที่ได้รับการรับรอง	
home.whyBBG.safety.description	KB 보험 파트너십과 24/7 응급 지원	พันธมิตรกับ KB Insurance และการสนับสนุนฉุกเฉิน 24/7	
home.whyBBG.convenience.title	완벽한 편의	ความสะดวกสบายทั้งหมด	
home.whyBBG.convenience.description	공항 픽업부터 병원 동행까지 모든 것 처리	ตั้งแต่รับที่สนามบินไปจนถึงการพาไปคลินิก เราดูแลทุกอย่าง	
home.whyBBG.value.title	프리미엄 가치	คุณค่าพรีเมียม	
home.whyBBG.value.description	독점 바우처와 무료 의료 상담	บัตรกำนัลพิเศษและการปรึกษาทางการแพทย์ฟรี	
home.howItWorks.title	어떻게 작동하나요	วิธีการทำงาน	
home.howItWorks.step1.title	패스 선택	เลือกบัตรของคุณ	
home.howItWorks.step1.description	필요에 맞는 보호 수준을 선택하세요	เลือกระดับการปกป้องที่เหมาะกับคุณ	
home.howItWorks.step2.title	디지털 바우처 받기	รับบัตรกำนัลดิจิทัล	
home.howItWorks.step2.description	즉시 확인 및 QR 코드 받기	รับการยืนยันทันทีและ QR code	
home.howItWorks.step3.title	안전하게 여행	เดินทางอย่างปลอดภัย	
home.howItWorks.step3.description	한국에서 모든 단계를 지원받으세요	การสนับสนุนเต็มรูปแบบในทุกขั้นตอนในเกาหลี	
home.cta.title	여행 보호 준비되셨나요?	พร้อมที่จะปกป้องการเดินทางของคุณแล้วหรือยัง?	
home.cta.subtitle	수천 명의 환자들이 Seoul Beauty Pass를 신뢰합니다	เข้าร่วมกับผู้ป่วยหลายพันคนที่ไว้วางใจ BBG Medical Pass	
home.cta.button	시작하기	เริ่มต้น	
home.gate.description	상황에 맞는 경로를 선택하세요.	ความต้องการต่างกัน ทางออกต่างกัน เลือกสิ่งที่เหมาะกับคุณ	
home.gate.saveBadge	$199 절약	ประหยัด $199	
home.gate.noBookingTitle	아직 병원을 예약하지 않으셨나요?	ยังไม่ได้จองโรงพยาบาล?	
home.gate.noBookingPrefix	BBG를 통해 예약하면 	จองผ่าน BBG แล้วรับ 	
home.gate.noBookingHighlight	Essential Pass($199)를 무료로	Essential Pass ($199) ฟรี	
home.gate.noBookingSuffix	 받을 수 있어요.		
home.gate.noBookingBullets.0	직접 예약과 동일한 수술 비용	ราคาผ่าตัดเท่ากับจองโดยตรง	
home.gate.noBookingBullets.1	무료 공항 픽업 & SIM 카드	รับที่สนามบินและซิมการ์ดฟรี	
home.gate.noBookingBullets.2	24/7 통역 핫라인 포함	สายด่วนล่ามตลอด 24/7	
home.gate.bookedTitle	이미 병원을 예약하셨나요?	จองโรงพยาบาลแล้ว?	
home.gate.bookedDescription	여행에 안전망을 더하세요. 컨시어지 패스를 구매하세요.	เพิ่มความปลอดภัยให้การเดินทางของคุณ ซื้อคอนเซียร์จพาส	
home.gate.bookedBullets.0	서울의 모든 클리닉에서 사용 가능	ใช้ได้กับทุกคลินิกในโซล	
home.gate.bookedBullets.1	최대 $15,000 보험 보장	ความคุ้มครองประกันสูงสุด $15,000	
home.gate.bookedBullets.2	프리미엄 컨시어지 서비스	บริการคอนเซียร์จพรีเมียม	
home.trust.title	전 세계 수천 명의 환자가 신뢰합니다	ได้รับความไว้วางใจจากผู้ป่วยนานาชาตินับพัน	
home.trust.subtitle	서울 파트너 병원 및 클리닉	โรงพยาบาลและคลินิกพาร์ทเนอร์ในโซล เกาหลี	
home.trust.viewAllPartners	파트너 {count}곳 모두 보기	ดูพาร์ทเนอร์ทั้ง {count} แห่ง	
home.trust.showLess	접기	แสดงน้อยลง	
home.trust.card1Title	KB 보험 공식 파트너	พาร์ทเนอร์อย่างเป็นทางการของ KB Insurance	
home.trust.card1Desc	KB 손해보험 파트너십을 통한 의료 시술 보호 혜택	ความคุ้มครองการรักษาพยาบาลผ่านความร่วมมือ KB Insurance	
home.trust.card2Title	의료 위원회 검증 완료	ได้รับการรับรองจากคณะกรรมการแพทย์	
home.trust.card2Desc	모든 파트너 클리닉은 엄격한 품질 기준을 충족합니다	คลินิกพาร์ทเนอร์ทุกแห่งผ่านมาตรฐานคุณภาพที่เข้มงวด	
home.trust.card3Title	24/7 지원 가능	สนับสนุนตลอด 24/7	
home.trust.card3Desc	다국어 팀이 언제든 지원합니다	ทีมหลายภาษาพร้อมช่วยเหลือทุกเวลา	
home.instagram.title	실제 환자 여정	เรื่องราวของผู้ป่วยจริง	
home.instagram.subtitle	Instagram에서 성공 사례와 변화를 확인하세요	ดูเรื่องราวความสำเร็จและการเปลี่ยนแปลงบน Instagram	
home.instagram.button	Instagram 팔로우	ติดตามเราบน Instagram	
shop.hero.title	Medical Pass 선택	เลือก Medical Pass ของคุณ	
shop.hero.subtitle	여행에 적합한 보호 수준을 선택하세요	เลือกระดับการปกป้องที่เหมาะสมสำหรับการเดินทางของคุณ	
shop.popular	인기	ยอดนิยม	
shop.tier.essential.name	Essential	Essential	
shop.tier.essential.price	$199	$199	
shop.tier.essential.description	기본 보호 및 지원	การปกป้องและการสนับสนุนพื้นฐาน	
shop.tier.essential.features.0	공항 픽업 (편도)	รับที่สนามบิน (ทางเดียว)	
