키	한국어	베트남어	번역(감수)
nav.shop	Shop	Cửa hàng	
nav.freeOffer	Free Offer	Ưu đãi miễn phí	
nav.howItWorks	How it Works	Cách hoạt động	
nav.myBooking	My Booking	Đặt chỗ của tôi	
home.hero.landingTitle	한국 성형수술 여행을 안전하게.	Bảo vệ chuyến phẫu thuật thẩm mỹ tại Hàn Quốc.	
home.hero.landingSubtitle	공항 픽업, 24/7 통역, 최대 $15,000 재수술 보장.	Đón sân bay, Phiên dịch 24/7, và Bảo hiểm tái phẫu thuật lên đến $15,000.	
home.hero.badge1	KB 보험 파트너	Đối tác Bảo hiểm KB	
home.hero.badge2	의료 위원회 인증	Được Ủy ban Y tế Xác nhận	
home.hero.airportService	공항 서비스	Dịch vụ sân bay	
home.hero.airportServiceDesc	공항에서 프라이빗 픽업	Đón riêng từ sân bay	
home.hero.support247	24/7 서포트	Hỗ trợ 24/7	
home.hero.support247Desc	24시간 지원 서비스	Hỗ trợ suốt ngày đêm	
home.hero.resurgery	재수술 보장	Bảo hiểm tái phẫu thuật	
home.hero.resurgeryDesc	안심을 위한 최대 $15,000 보장	Bảo hiểm lên đến $15,000 cho sự an tâm	
home.hero.title	이미 병원을 예약하셨나요?	Đã đặt phòng khám chưa?	
home.hero.subtitle	여정 선택	Chọn hành trình của bạn	
home.hero.yesCard.title	네, 병원을 이미 예약했어요	Có, tôi đã đặt phòng khám	
home.hero.yesCard.description	Essential, Safety 또는 VIP 패스를 구매하여 여행을 보호하세요	Mua Essential, Safety hoặc VIP Pass để bảo vệ chuyến đi	
home.hero.yesCard.button	Pass 구매하기	Mua thẻ	
home.hero.yesCard.badge	유료 상품	Sản phẩm trả phí	
home.hero.noCard.title	아니요, BBG를 통해 예약하고 싶어요	Không, tôi muốn đặt qua BBG	
home.hero.noCard.description	BBG 파트너 병원 예약 시 무료 혜택을 받으세요	Nhận ưu đãi miễn phí khi đặt phòng khám đối tác BBG	
home.hero.noCard.button	무료 혜택 받기	Nhận ưu đãi miễn phí	
home.hero.noCard.badge	무료	Miễn phí	
home.whyBBG.title	Seoul Beauty Pass를 선택해야 하는 이유	Tại sao chọn BBG Medical Pass	
home.whyBBG.subtitle	한국 성형수술 여행을 위한 신뢰할 수 있는 파트너	Đối tác đáng tin cậy cho du lịch phẫu thuật thẩm mỹ tại Hàn Quốc	
home.whyBBG.safety.title	검증된 안전	An toàn được xác minh	
home.whyBBG.safety.description	KB 보험 파트너십과 24/7 응급 지원	Đối tác bảo hiểm KB và hỗ trợ khẩn cấp 24/7	
home.whyBBG.convenience.title	완벽한 편의	Tiện lợi hoàn toàn	
home.whyBBG.convenience.description	공항 픽업부터 병원 동행까지 모든 것 처리	Từ đón sân bay đến hộ tống phòng khám, chúng tôi xử lý mọi thứ	
home.whyBBG.value.title	프리미엄 가치	Giá trị cao cấp	
home.whyBBG.value.description	독점 바우처와 무료 의료 상담	Phiếu giảm giá độc quyền và tư vấn y tế miễn phí	
home.howItWorks.title	어떻게 작동하나요	Cách hoạt động	
home.howItWorks.step1.title	패스 선택	Chọn thẻ của bạn	
home.howItWorks.step1.description	필요에 맞는 보호 수준을 선택하세요	Chọn mức độ bảo vệ phù hợp với nhu cầu	
home.howItWorks.step2.title	디지털 바우처 받기	Nhận voucher kỹ thuật số	
home.howItWorks.step2.description	즉시 확인 및 QR 코드 받기	Xác nhận ngay lập tức và mã QR	
home.howItWorks.step3.title	안전하게 여행	Du lịch an toàn	
home.howItWorks.step3.description	한국에서 모든 단계를 지원받으세요	Hỗ trợ đầy đủ ở mọi bước tại Hàn Quốc	
home.cta.title	여행 보호 준비되셨나요?	Sẵn sàng bảo vệ chuyến đi?	
home.cta.subtitle	수천 명의 환자들이 Seoul Beauty Pass를 신뢰합니다	Hàng nghìn bệnh nhân tin tưởng BBG Medical Pass	
home.cta.button	시작하기	Bắt đầu	
home.gate.description	상황에 맞는 경로를 선택하세요.	Nhu cầu khác nhau, giải pháp khác nhau. Chọn điều phù hợp với bạn.	
home.gate.saveBadge	$199 절약	TIẾT KIỆM $199	
home.gate.noBookingTitle	아직 병원을 예약하지 않으셨나요?	Chưa đặt phòng khám?	
